"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"3.5","","Keyvisual","Keyvisual - Banner chính","","others","hero","","","false","","","","","","Banner chính trên trang chủ giới thiệu chủ đề 'ROOT FURTHER' và đồng hồ đếm ngược.  Hiển thị:   - Tiêu đề lớn: 'ROOT FURTHER' (font rất lớn)   - Dòng phụ: 'Coming soon'   - Đồng hồ đếm ngược: 3 module hiển thị 'DAYS' / 'HOURS' / 'MINUTES'   - Thông tin sự kiện: 'Thời gian: 18h30  Địa điểm: Nhà hát nghệ thuật quân đội'   - Nút hành động: 'ABOUT AWARDS' (hover state), 'ABOUT KUDOS' (normal state)   - Hình nền: họa tiết dạng rễ/đường nét trang trí  Chức năng: - Click nút 'ABOUT AWARDS': điều hướng sang trang Awards Information - Click nút 'ABOUT KUDOS': điều hướng sang trang Sun* Kudos - Đồng hồ: cập nhật thời gian thực cho các module, hiển thị số có 0-padding - Trạng thái: nút có hover/active, focus rõ ràng - Responsive: các phần co lại hoặc xếp chồng trên màn hình nhỏ để duy trì đọc được","","","","","","","completed"
"3.5","2167:9027","Keyvisual BG","Hình nền Keyvisual (hero)","mms_3.5_Keyvisual","others","background","","","","","","","","","Full-screen background key visual image for the Homepage hero section.  Display:   - Image: decorative dark background with organic root patterns and event branding   - Coverage: full-width hero section   - Overlay: semi-transparent dark cover for text readability  Function: - Static display, no interaction - Responsive: cover mode, maintains aspect ratio","","","","","","","completed"
"6","","Widget Button","Nút Widget (hành động nhanh)","","button","","icon_text","","false","","","","","","Nút hành động nhanh nổi và cố định ở mép phải bên dưới màn hình để mở chức năng phụ. Display:   - Pill 105x64px: nền vàng, bo tròn   - Icon trái: biểu tượng bút chì   - Icon phải: biểu tượng của SAA   - Ký tự: '/' (phân cách giữa biểu tượng) Function: - Click: Mở menu các option hành động nhanh","","","","","","","completed"
"7","","Footer","Chân trang (Footer)","","others","navigation","","","false","","","","","","Thanh footer chứa logo, liên kết điều hướng và thông tin bản quyền ở cuối trang.  Display:   - Logo: biểu tượng SAA (trái)   - Liên kết: 'About SAA 2025', 'Awards Information', 'Sun* Kudos' (giữa)   - Bản quyền: 'Bản quyền thuộc vè Sun* © 2025' (phải)  Function: - Click link: điều hướng tới trang tương ứng - Click logo: về đầu trang chủ - Hover/active/normal state: tương tự các item ở header","","","","","","","completed"
"7.1","","LOGO","Logo Sun* Annual Awards","","others","logo","","","false","","","","","","Logo Sun* hiển thị thương hiệu (69x64px).  Function: Tương tự item A1.1","","","","","","","completed"
"7.2","","Button-IC","Nút 'About SAA 2025'","","button","","text_link","","false","","","","","","Nút 'About SAA 2025' trong footer để mở trang giới thiệu.  Function: Tương tự item A1.2","","","","","","","completed"
"7.3","","Button-IC","Nút 'Awards Information'","","button","","text_link","","false","","","","","","Nút nav 'Awards Information' dẫn đến trang thông tin giải thưởng.  Function: Tương tự item A1.3","","","","","","","completed"
"7.4","","Button-IC","Nút Sun* Kudos","","button","","text_link","","false","","","","","","Nút điều hướng tới 'Sun* Kudos' trong banner.  Function: Tương tự item A1.5","","","","","","","completed"
"7.5","","Button-IC","Nút Tiêu chuẩn chung","","button","","text_link","","false","","","","","","Nút điều hướng tới 'Tiêu chuẩn chung' trong banner.","","","","","","","completed"
"A1","","Header","Thanh Header (Điều hướng chính)","","others","navigation","","","true","","","","","","Header điều hướng chính gồm logo, các link và icon chức năng.  Hiển thị:   - Logo: biểu tượng (trái)   - Links: 'About SAA 2025', 'Awards Information', 'Sun* Kudos'  - Controls: bell (thông báo), 'VI' (chuyển ngôn ngữ) và biểu tượng người dùng ở bên phải  Chức năng: - Click logo: về trang chủ - Click link: chuyển trang/section tương ứng; active: đổi màu + underline - Hover link: highlight - Click 'VN'/bell/avatar: mở menu tương ứng","","","","","","","completed"
"A1","I2167:9091;186:2166","Header","Thanh Header (Điều hướng chính)","mms_A1_Header","others","navigation","","","","","","","","","Header navigation component instance.  Display:   - Logo: SAA brand logo (left)   - Navigation links: 'About SAA 2025' (selected), 'Awards Information' (hover), 'Sun* Kudos' (normal)   - Controls: Notification bell, Language switcher 'VN', User profile icon (right)   - Background: transparent/semi-transparent dark  Function: - See items A1.1 through A1.8 for individual component behaviors - Sticky/fixed position at top of viewport","","","","","","","completed"
"A1.1","","LOGO","Logo trang chủ","","button","","icon_text","","false","","","","","","Logo trang chủ hiển thị thương hiệu Sun* SAA.  Function: - Click: về trang chủ (đầu trang About SAA 2025) - Kích thước: 64x60px, có alt text","","","","","","","completed"
"A1.2","","Button-Selected state","Nút 'About SAA 2025' (đang chọn)","","button","","text_link","","false","","","","","","Nút menu đang chọn: 'About SAA 2025'. Liên kết điều hướng header đến trang 'About SAA 2025'.  Function: - Click: điều hướng đến trang 'About SAA 2025' - State: selected hiển thị text nổi bật (màu vàng/underline). Nếu đang selected, click vào button thì scroll lên đầu trang - Trường hợp hover: highlight như item A1.2 - Trường hợp không chọn, không hover: hiển thị text thông thường như A1.3","","","","","","","completed"
"A1.3","","Button Hover State","Nút 'Awards Information' - trạng thái hover","","button","","text_link","","false","","","","","","Nút menu đang hover: 'Awards Information'. Liên kết điều hướng header đến trang 'Awards Information'.  Function: - Click: điều hướng đến trang 'Awards Information' - State: hover hiển thị nền sáng, highlight - Trường hợp selected: hiển thị text nổi bật (màu vàng/underline) như A1.1. Nếu đang selected, click vào button thì scroll lên đầu trang - Trường hợp không chọn, không hover: hiển thị text thông thường như A1.3","","","","","","","completed"
