Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,ID-0,Homepage SAA - DONE,Check access permission,Direct URL access,Unauthenticated user,,User is not logged in browser is open,URL: / (homepage),"1. Open browser
2. Navigate to homepage URL
3. Verify page loads",Homepage displayed successfully with all public content,,High,Access control and security,,,,
ACCESSING,ID-1,Homepage SAA - DONE,,,Authenticated user,,User is logged in,URL: / (homepage),"1. User logs in
2. Navigate to homepage URL
3. Verify page loads with user-specific features",Homepage displayed with notification bell account menu and personalized options,,High,Access control and security,,,,
ACCESSING,ID-2,Homepage SAA - DONE,Check navigation path,From any page,Via logo click,,User is on any page of the application,,"1. Navigate to any page
2. Click logo in header
3. Verify navigation",Homepage displayed and scrolled to top,,High,Access control and security,,,,
ACCESSING,ID-3,Homepage SAA - DONE,,From header,Via navigation links,,User is on any page,,"1. Navigate to any page
2. Click About SAA 2025 in header
3. Verify navigation",Homepage displayed with About SAA 2025 section visible,,High,Access control and security,,,,
ACCESSING,ID-4,Homepage SAA - DONE,,From footer,Via navigation links,,User is on any page scrolled to footer,,"1. Navigate to any page
2. Scroll to footer
3. Click About SAA 2025 link
4. Verify navigation",Homepage displayed and scrolled to top,,Medium,Access control and security,,,,
ACCESSING,ID-5,Homepage SAA - DONE,Check authentication,Admin menu option,Admin role only,,Admin user is logged in,User with admin role,"1. Login as admin user
2. Navigate to homepage
3. Click account button
4. Verify menu options",Account menu displays with Admin Dashboard option,,High,Access control and security,,,,
ACCESSING,ID-6,Homepage SAA - DONE,,,,,Regular user is logged in,User with regular role,"1. Login as regular user
2. Navigate to homepage
3. Click account button
4. Verify menu options",Account menu displays without Admin Dashboard option,,High,Access control and security,,,,
GUI,ID-7,Homepage SAA - DONE,Check layout,Screen-wide layout,Overall structure,,User navigated to homepage,,"1. Open homepage
2. Observe overall page structure
3. Verify positions of main sections","Header at top with logo left nav center controls right
Hero section with ROOT FURTHER title centered
Countdown below hero
Awards grid (3 columns desktop 2 columns tablet/mobile)
Sun* Kudos section
Widget button fixed bottom right
Footer at bottom",,High,Normal_Others,,,,
GUI,ID-8,Homepage SAA - DONE,Initialize,Header logo,Default visibility,,User navigated to homepage,,"1. Open homepage
2. Observe header logo
3. Check size and alt text",Logo 64x60px visible at header left with alt text,,Medium,Normal_Others,,,,
GUI,ID-9,Homepage SAA - DONE,,Navigation links,Active state,,User navigated to homepage,,"1. Open homepage
2. Observe navigation links in header
3. Check active link styling",About SAA 2025 link highlighted with yellow color/underline,,Medium,Normal_Others,,,,
GUI,ID-10,Homepage SAA - DONE,,Language button,Default value,,User navigated to homepage,,"1. Open homepage
2. Observe language button in header
3. Check displayed value",Language button displays VN,,Medium,Normal_Others,,,,
GUI,ID-11,Homepage SAA - DONE,,Notification button,Default state,,User navigated to homepage (authenticated),Authenticated user,"1. Login and navigate to homepage
2. Observe notification button
3. Check icon and badge","Notification icon 40x40px visible
Badge visible if unread notifications exist",,Medium,Normal_Others,,,,
